"RA" "DEC" "PSFMAG_R"
14 -0.0526315789473683 17
13.992558784212 -0.0526608006831417 17
13.9851180276841 -0.0527484640886339 17
13.9776781896483 -0.0528945637504418 17
13.9702397292794 -0.053099090648997 17
13.9628031056667 -0.0533620321585996 17
13.9553687777858 -0.0536833720460755 17
13.9479372044701 -0.0540630904736601 17
13.940508844382 -0.0545011639989387 17
13.9330841559849 -0.0549975655775097 17
13.9256635975146 -0.0555522645646656 17
13.9182476269507 -0.0561652267153614 17
13.9108367019887 -0.0568364141889736 17
13.9034312800111 -0.0575657855494071 17
13.8960318180596 -0.0583532957696676 17
13.888638772806 -0.0591988962326576 17
13.8812526005249 -0.0601025347361878 17
13.8738737570646 -0.0610641554944678 17
13.8665026978191 -0.0620836991427245 17
13.8591398777001 -0.0631611027404606 17
13.8517857511086 -0.0642962997751932 17
13.8444407719067 -0.0654892201671831 17
13.8371053933895 -0.0667397902730013 17
13.8297800682573 -0.0680479328907209 17
13.8224652485872 -0.0694135672645678 17
13.8151613858052 -0.070836609089631 17
13.8078689306583 -0.0723169705177665 17
13.8005883331865 -0.0738545601620666 17
13.793320042695 -0.0754492831036142 17
13.7860645077263 -0.077101040896482 17
13.7788221760325 -0.0788097315745256 17
13.7715934945475 -0.0805752496571306 17
13.7643789093593 -0.082397486156277 17
13.7571788656824 -0.0842763285830381 17
13.7499938078305 -0.0862116609545157 17
13.7428241791885 -0.0882033638011553 17
13.7356704221854 -0.0902513141743164 17
13.7285329782667 -0.092355385653571 17
13.7214122878675 -0.0945154483548147 17
13.7143087903847 -0.0967313689381015 17
13.70722292415 -0.0990030106162322 17
13.7001551264028 -0.101330233162919 17
13.6931058332635 -0.103712892921755 17
13.6860754797058 -0.106150842814935 17
13.6790644995304 -0.108643932352643 17
13.6720733253378 -0.11119200764208 17
13.6651023885018 -0.113794911397133 17
13.6581521191426 -0.116452482948309 17
13.6512229461004 -0.11916455825239 17
13.6443152969086 -0.121930969902961 17
13.6374295977679 -0.124751547140521 17
13.6305662735193 -0.127626115863181 17
13.6237257476182 -0.130554498637538 17
13.6169084421083 -0.133536514709591 17
13.6101147775953 -0.136571980015967 17
13.603345173221 -0.139660707195311 17
13.5966000466375 -0.142802505600121 17
13.589879813981 -0.145997181308189 17
13.5831848898469 -0.149244537135028 17
13.5765156872632 -0.152544372645855 17
13.5698726176657 -0.1558964841681 17
13.5632560908726 -0.159300664804013 17
13.5566665150585 -0.162756704443518 17
13.5501042967299 -0.166264389777304 17
13.5435698407 -0.169823504309869 17
13.5370635500635 -0.173433828373132 17
13.5305858261718 -0.177095139140074 17
13.5241370686083 -0.180807210638248 17
13.5177176751636 -0.18456981376415 17
13.5113280418112 -0.188382716297246 17
13.5049685626829 -0.192245682914411 17
13.4986396300445 -0.196158475204398 17
13.4923416342718 -0.200120851682844 17
13.4860749638262 -0.204132567806987 17
13.4798400052311 -0.208193375990986 17
13.4736371430477 -0.212303025621234 17
13.4674667598516 -0.21646126307182 17
13.4613292362095 -0.220667831720304 17
13.4552249506548 -0.224922471963594 17
13.4491542796652 -0.229224921234035 17
13.4431175976394 -0.23357491401566 17
13.4371152768733 -0.237972181860596 17
13.4311476875381 -0.242416453405864 17
13.4252151976567 -0.246907454389896 17
13.4193181730816 -0.251444907669772 17
13.413456977472 -0.256028533238299 17
13.4076319722717 -0.260658048241276 17
13.4018435166866 -0.265333166995131 17
13.3960919676628 -0.27005360100446 17
13.3903776798645 -0.274819058980012 17
13.3847010056526 -0.279629246856659 17
13.3790622950622 -0.284483867811641 17
13.3734618957821 -0.289382622282874 17
13.3679001531324 -0.294325207987454 17
13.3623774100441 -0.299311319940541 17
13.3568940070378 -0.304340650474059 17
13.3514502822024 -0.309412889255719 17
13.3460465711749 -0.314527723308383 17
13.3406832071193 -0.319684837029246 17
13.3353605207063 -0.32488391220949 17
13.3300788400933 -0.330124628053861 17
13.3248384909039 -0.335406661200557 17
13.3196397962078 -0.340729685741238 17
13.3144830765014 -0.346093373241183 17
13.3093686496878 -0.35149739275955 17
13.3042968310575 -0.356941410869824 17
13.2992679332688 -0.362425091680533 17
13.294282266329 -0.367948096855906 17
13.2893401375749 -0.373510085636814 17
13.2844418516545 -0.379110714861919 17
13.2795877105078 -0.384749638988695 17
13.2747780133487 -0.390426510114953 17
13.2700130566464 -0.396140978000287 17
13.2652931341075 -0.401892690087645 17
13.2606185366576 -0.407681291525232 17
13.2559895524239 -0.413506425188326 17
13.2514064667172 -0.419367731701382 17
13.2468695620148 -0.425264849460258 17
13.2423791179427 -0.431197414654505 17
13.237935411259 -0.437165061289818 17
13.2335387158368 -0.443167421210707 17
13.229189302647 -0.449204124123172 17
13.2248874397424 -0.455274797617618 17
13.2206333922411 -0.461379067191782 17
13.2164274223097 -0.467516556273902 17
13.2122697891481 -0.473686886245946 17
13.2081607489731 -0.479889676466991 17
13.2041005550031 -0.486124544296719 17
13.2000894574422 -0.492391105119003 17
13.1961277034652 -0.498688972365669 17
13.1922155372024 -0.505017757540389 17
13.1883531997248 -0.51137707024257 17
13.1845409290291 -0.517766518191497 17
13.1807789600235 -0.524185707250508 17
13.1770675245129 -0.530634241451356 17
13.1734068511855 -0.537111723018585 17
13.1697971655978 -0.543617752394088 17
13.1662386901616 -0.550151928261724 17
13.1627316441304 -0.556713847572129 17
13.1592762435853 -0.563303105567532 17
13.1558727014229 -0.569919295806711 17
13.1525212273412 -0.576562010190062 17
13.1492220278276 -0.583230838984763 17
13.1459753061461 -0.589925370850065 17
13.1427812623247 -0.596645192862608 17
13.1396400931431 -0.603389890541902 17
13.1365519921213 -0.610159047875861 17
13.1335171495072 -0.61695224734646 17
13.1305357522653 -0.623769069955495 17
13.127607984065 -0.630609095250321 17
13.12473402527 -0.637471901349893 17
13.1219140529265 -0.644357064970637 17
13.1191482407531 -0.651264161452618 17
13.1164367591298 -0.658192764785688 17
13.1137797750879 -0.66514244763571 17
13.1111774522995 -0.672112781370929 17
13.1086299510678 -0.679103336088338 17
13.1061374283173 -0.686113680640201 17
13.1037000375839 -0.69314338266058 17
13.1013179290063 -0.700192008591989 17
13.0989912493159 -0.707259123712104 17
13.0967201418286 -0.714344292160517 17
13.0945047464358 -0.72144707696563 17
13.0923451995959 -0.728567040071483 17
13.090241634326 -0.735703742364835 17
13.0881941801937 -0.742856743702114 17
13.0862029633094 -0.750025602936597 17
13.0842681063186 -0.757209877945513 17
13.0823897283942 -0.764409125657315 17
13.0805679452296 -0.771622902078937 17
