"RA" "DEC" "MAG"
14.7192558194511 -1.12329845875502 17
14.3208698313683 -1.99283254705369 17
13.0062349406071 -0.907351007219404 17
13.1979973260313 -0.126667995937169 17
13.9987517865375 -1.469185736496 17
13.8678413182497 -0.967795819044113 17
14.6959797339514 -1.20657864632085 17
14.0849597435445 -0.985397382639349 17
13.0438727904111 -1.40611955616623 17
14.3770732735284 -0.343705974984914 17
14.7848386755213 -1.02719833096489 17
14.1770323016681 -0.116159753873944 17
13.9807301503606 -0.000982415396720171 17
14.5527366907336 -0.361304370686412 17
13.0670104669407 -1.89241348579526 17
14.0382572724484 -1.50621054321527 17
13.3686592043377 -1.36144560342655 17
14.6395024098456 -1.88951821485534 17
13.1069096787833 -0.765952883753926 17
14.9640147909522 -1.54416785528883 17
13.5579434270039 -1.1393313659355 17
14.3416175520979 -0.357802833430469 17
13.9113596547395 -1.39480557991192 17
14.7303575421683 -1.62950626993552 17
13.613370240666 -0.555332030635327 17
13.1384280761704 -1.93752133054659 17
14.5382305844687 -0.140122080221772 17
13.0140196396969 -0.442698275204748 17
14.6249431283213 -0.646012903191149 17
13.9069628450088 -1.31106728455052 17
14.125434382353 -1.87943602725863 17
14.1398797594011 -0.156422601081431 17
14.4946176502854 -0.407698853872716 17
14.1561976731755 -0.894571333192289 17
14.3554011085071 -0.0586212854832411 17
14.4903871868737 -0.494578455574811 17
13.6061583128758 -0.0441887779161334 17
13.0473763314076 -0.471585283055902 17
13.192214036826 -0.318637386430055 17
13.8609005785547 -0.688036798033863 17
14.9840137124993 -1.20230230689049 17
14.2508761510253 -1.17608713917434 17
14.6925050453283 -1.0256286021322 17
14.5179018639028 -1.09778511198238 17
13.7991192173213 -0.442156088072807 17
13.7986179683357 -0.540165090467781 17
14.9376136474311 -1.90667662769556 17
13.553673776798 -0.818356018979102 17
13.2812685407698 -0.676928641740233 17
13.9840017887764 -1.34754385473207 17
14.243774517905 -1.74221155093983 17
14.4916673097759 -1.73946807393804 17
14.9786853892729 -0.00819789338856936 17
13.4814938162453 -0.777262034360319 17
13.5285047558136 -1.73324200278148 17
13.4799602120183 -1.66968602640554 17
14.6988230268471 -1.23356315074489 17
14.819315884728 -1.79333227593452 17
13.5751640298404 -1.712268140167 17
13.5277680410072 -1.26649368787184 17
14.9590093102306 -0.191185783594847 17
13.1941533284262 -1.62152440939099 17
14.2086981097236 -0.752350630238652 17
13.2344217542559 -1.4802818945609 17
14.5216020522639 -1.89022155432031 17
14.2257449151948 -0.560865277424455 17
13.2925340807997 -0.472579731605947 17
14.0998037606478 -0.644401519559324 17
13.5155166448094 -1.8480417765677 17
13.0717554469593 -1.47230181377381 17
14.7430387353525 -1.29192393785343 17
13.4040999114513 -0.377819537185133 17
14.3740515825339 -1.80304464558139 17
13.5958079486154 -0.574424270540476 17
14.0207072077319 -1.72328864177689 17
13.2135716471821 -0.640290803276002 17
13.4841309837066 -1.3601362882182 17
13.9087037085555 -0.917352267540991 17
14.0093478858471 -0.565273806918412 17
14.936280158814 -1.74431328568608 17
14.9565181597136 -0.613487333524972 17
14.4284441662021 -1.70407190546393 17
13.3284047590569 -0.0873949001543224 17
14.4773805099539 -0.536988540552557 17
13.303857176099 -0.576836737338454 17
13.684282571543 -0.253167063463479 17
14.6805880367756 -0.582867799326777 17
14.4927747766487 -0.807399184443057 17
14.2699685515836 -0.460009826347232 17
13.0691159102134 -0.376490615308285 17
14.5968603300862 -0.114417483564466 17
13.8879259838723 -1.96912919543684 17
13.0010564532131 -0.177419014275074 17
14.7404650649987 -0.275325572118163 17
13.0177144687623 -1.20334418583661 17
14.8435617275536 -0.665616314392537 17
13.0421458622441 -1.14710911782458 17
13.30612570839 -0.257562079466879 17
14.9506426374428 -1.4749673390761 17
14.4536326718517 -0.825833482202142 17
